"","F1","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18"
"215",2,0,1,-3,-2,3,3,4,4,3,3,3,4,3,1,-1,2,2
"216",-1,1,1,-1,0,1,1,2,1,1,2,-2,2,1,-2,1,1,1
"217",0,-1,2,-1,-2,0,4,1,4,-3,4,1,4,-1,-1,-4,4,4
"218",2,1,0,0,-1,1,3,-2,-2,-1,1,-1,2,-1,0,-2,2,3
"219",2,4,0,0,-1,0,2,3,4,2,0,2,2,-1,-3,-4,2,-3
"220",2,-2,2,-1,-2,4,1,1,-1,1,1,1,3,1,1,2,1,1
"221",3,4,3,4,-4,0,4,4,4,3,4,2,0,-3,-2,-3,2,0
"222",2,-1,3,-2,-3,2,1,3,4,3,2,2,2,-1,-2,2,1,-4
"223",-2,0,2,-2,0,0,0,0,4,2,3,4,0,-2,-3,0,0,-2
"224",2,-2,-1,-2,-2,1,1,1,-1,-2,-2,-2,1,-2,-1,-1,1,2
"225",1,-1,1,-2,-1,-2,3,4,1,3,0,3,3,0,-1,-2,2,-3
"226",1,0,-1,0,1,1,3,3,1,3,4,4,3,2,2,2,1,-1
"227",3,1,0,-2,-2,0,3,3,0,-2,0,0,0,-1,-2,0,1,-2
"228",2,-1,1,0,-3,1,3,3,1,3,2,4,1,-2,2,-4,1,4
"229",1,3,-3,-2,-1,-2,2,4,4,4,4,2,1,0,-4,-3,-1,-4
"230",2,2,0,1,1,1,1,-1,4,1,4,2,1,4,-1,4,1,-1
"231",4,-2,-3,-1,-1,1,3,4,3,-1,2,2,4,1,-1,0,2,3
"232",2,-2,-4,-2,-1,1,4,3,-2,-2,-2,-2,4,-3,0,-3,0,4
"233",3,-2,-4,-2,-2,-2,4,3,2,2,-4,3,4,-2,3,-4,3,-4
"234",1,3,-4,-4,-2,4,0,4,4,4,4,4,0,-1,-3,4,4,0
"235",3,2,4,-3,-4,-2,3,3,4,3,2,-1,4,-2,1,-3,2,-2
"236",3,-1,-2,-2,-4,1,1,2,-1,-2,-3,-2,4,-2,-2,-3,-2,4
"237",1,1,-2,-2,-3,3,3,3,0,4,3,3,3,3,0,4,0,-2
"238",4,-2,-4,-4,1,-2,4,4,0,2,2,2,4,-4,1,-3,-2,-4
"239",-2,2,2,-2,-3,-3,2,3,4,-3,0,-3,-3,-3,-3,-3,3,-4
"240",3,-1,-1,2,1,3,3,4,-1,-2,2,-1,3,-3,-3,-1,2,-4
"241",-2,1,2,-1,-1,1,2,1,1,-1,1,0,1,-1,-1,-1,2,3
"242",2,3,0,-3,-2,1,4,4,4,4,4,0,4,3,2,-3,1,0
"243",2,-2,0,1,2,3,3,3,2,3,3,3,1,2,0,0,1,-2
"244",2,0,-3,-2,-1,1,3,0,0,-3,-3,-2,3,0,-1,-1,0,-3
"245",3,1,-3,-3,-4,-3,3,3,4,4,-3,4,3,1,4,-1,3,3
"246",1,1,1,-1,-1,1,1,1,1,1,1,2,2,-1,-2,-1,1,1
"247",2,3,4,3,-1,0,3,4,2,-1,0,0,1,-1,-2,-2,-1,-1
"248",4,0,1,-2,1,2,4,4,4,-2,0,-3,4,3,3,3,3,4
"249",3,1,-2,-2,-3,-2,3,4,4,4,-3,4,4,-4,-4,-3,3,0
"250",-1,0,1,-2,-2,1,0,1,0,1,0,0,-2,-1,1,-1,0,2
"251",2,3,0,-3,-1,-1,1,3,2,3,3,2,2,-2,-1,-3,2,-2
"252",2,3,-3,0,0,0,0,3,2,3,0,0,0,-3,-3,-2,-3,-3
"253",3,-2,-2,-1,-1,1,3,3,1,1,-2,1,4,-1,2,-1,1,3
"254",1,-3,0,-4,-4,3,3,0,4,-3,0,-4,4,-1,-3,-4,4,4
"255",1,3,1,-2,-1,-1,2,3,2,3,3,1,2,-3,-1,-2,1,2
"256",2,0,-2,2,-2,-1,2,3,4,-3,-2,-3,0,-1,-3,0,-2,-4
