"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","participant","rewexpect_group"
"73",4,2,1,1,1,1,1,1,7,3,6,7,6,4,4,5,4,5,5,4,6,7,6,4,4,5,4,5,5,4,73,1
"74",1,1,3,1,1,3,1,2,1,4,1,4,4,2,1,1,3,4,5,6,1,1,3,1,1,3,1,2,1,4,74,4
"75",1,1,3,4,2,3,7,3,3,1,1,1,3,4,2,3,7,3,3,1,1,2,2,1,3,3,2,2,3,1,75,1
"76",7,5,5,5,5,5,5,5,5,5,7,7,6,6,6,6,7,6,6,6,5,5,5,5,5,5,5,5,5,6,76,1
"77",4,4,4,5,5,4,5,7,4,4,5,6,6,4,5,6,5,4,4,6,4,4,4,5,5,4,5,7,4,4,77,4
"78",3,1,2,3,2,2,3,1,2,2,4,3,2,3,3,2,2,2,3,3,2,3,2,3,3,3,3,3,3,4,78,1
"79",1,3,1,2,2,3,2,2,1,1,1,3,1,2,2,3,2,2,1,1,6,7,5,5,5,5,5,5,7,5,79,1
"80",7,6,2,7,8,8,8,8,8,6,8,7,5,8,6,7,7,3,3,7,7,6,2,7,8,8,8,8,8,6,80,1
"81",1,1,1,3,3,2,7,9,8,8,1,1,1,3,3,2,7,9,8,8,1,1,1,3,3,2,7,9,8,8,81,2
"82",6,1,1,1,1,1,1,5,1,1,2,1,8,9,9,9,8,8,9,9,8,9,3,9,9,9,9,9,9,1,82,1
"83",6,5,6,6,6,6,6,5,6,6,6,7,6,6,5,6,6,6,6,6,6,5,6,6,6,6,6,5,6,6,83,2
"84",7,5,4,6,7,6,6,7,7,7,7,7,8,8,9,8,6,8,7,8,7,8,8,8,8,8,8,8,9,8,84,1
"85",5,1,1,1,1,1,1,2,2,1,5,1,1,1,1,1,1,2,2,1,9,8,7,6,6,6,9,8,8,5,85,3
"86",7,3,6,7,5,7,6,5,8,8,8,6,7,8,7,8,6,8,6,6,7,3,6,7,5,7,6,5,8,8,86,1
"87",9,9,6,5,6,6,7,8,8,8,7,7,7,5,6,9,7,8,8,8,7,7,7,5,6,9,7,8,8,8,87,1
"88",2,1,1,1,1,1,1,1,1,1,1,2,1,6,1,6,3,4,3,8,9,9,9,9,9,9,9,9,9,8,88,1
"89",5,5,1,1,2,1,4,1,1,1,1,3,1,2,4,1,1,2,6,4,5,4,1,1,2,1,4,1,1,1,89,4
"90",1,1,1,5,4,1,1,5,2,2,2,3,3,7,4,5,5,4,1,4,1,1,1,6,1,1,1,5,2,2,90,1
"91",4,6,7,7,5,5,5,7,2,4,4,6,7,7,5,5,5,7,2,4,5,7,7,4,5,4,8,5,5,5,91,3
"92",5,4,4,4,1,4,4,3,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,6,6,6,5,92,1
"93",6,5,6,5,5,6,6,5,5,5,7,6,6,5,6,6,6,5,6,6,6,5,6,5,5,6,6,5,5,5,93,2
"94",3,1,1,1,4,2,1,1,1,9,1,3,3,6,6,5,3,3,3,3,1,3,3,6,6,5,3,3,3,3,94,1
"95",1,1,3,1,2,4,1,1,1,1,1,1,3,1,2,4,1,1,1,1,6,7,6,5,6,6,8,7,7,6,95,1
"96",3,4,4,4,3,2,2,3,2,2,3,4,4,4,3,2,2,3,2,2,3,4,4,4,3,2,2,3,2,2,96,2
"97",1,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,1,2,2,97,2
"98",1,1,1,1,1,3,1,1,1,1,1,1,1,2,1,2,1,1,1,6,1,1,1,1,1,3,1,1,1,1,98,4
"99",5,5,8,7,9,7,7,9,8,7,5,5,9,7,9,7,7,8,8,7,8,7,7,9,8,7,8,8,8,8,99,1
"100",8,8,8,8,9,9,8,7,8,9,8,8,8,8,9,9,8,7,8,9,8,9,9,5,9,8,6,7,9,7,100,1
"101",1,1,2,1,1,2,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,2,1,1,2,1,1,1,1,101,4
"102",6,9,8,8,6,9,5,8,6,9,9,4,8,9,8,5,5,9,5,9,8,9,9,7,9,6,7,5,9,9,102,1
"103",7,5,6,5,6,5,7,6,1,5,7,7,5,7,4,6,4,5,3,2,7,5,6,5,6,5,7,6,1,5,103,3
"104",1,1,1,1,1,2,1,1,1,1,1,2,1,2,1,3,2,2,2,4,1,1,1,1,1,2,1,1,1,1,104,2
"105",3,2,1,1,1,2,1,1,1,1,1,5,5,6,6,6,6,6,6,6,3,2,1,1,1,2,1,1,1,1,105,2
"106",6,7,5,4,6,4,4,7,3,3,6,7,5,4,6,4,4,7,3,3,4,4,5,5,6,6,6,7,7,6,106,3
"107",8,6,3,3,2,4,3,6,3,1,7,6,3,3,7,9,2,4,3,2,8,6,3,3,2,4,3,6,3,4,107,3
